pfvreacpcmcmi;RW;0x3223;I16;60
tenminovrpvi;RW;0x3224;U16;60
ovrvltdtmi;RW;0x322D;U16;60
undrvlttmi;RW;0x322E;U16;60
sordovvltdtmi;RW;0x322F;U16;60
sordunvlttdtmi;RW;0x3230;U16;60
ovfrdcontmi;RW;0x3231;U16;60
undfrdcontmi;RW;0x3232;U16;60
sordovfrdcontmi;RW;0x3233;U16;60
sordunfrdcontmi;RW;0x3234;U16;60
ipowcalbrf1i;RW;0x3235;U16;60
ipowcalbrf2i;RW;0x3236;U16;60
invstpdi;RW;0x3237;U16;60
invextfunwi;RW;0x3238;U16;60
l1vltclbcoefi;RW;0x3239;U16;60
l1crclbcoefi;RW;0x323A;U16;60
l2vltclbcoefi;RW;0x323B;U16;60
l2crclbcoefi;RW;0x323C;U16;60
l3vltclbcoefi;RW;0x323D;U16;60
l3crclbcoefi;RW;0x323E;U16;60
pv1vltclbcoefi;RW;0x323F;U16;60
pv2vltclbcoefi;RW;0x3240;U16;60
invvltclbcoefi;RW;0x3241;U16;60
busvltclbcoefi;RW;0x3242;U16;60
pv1crrclbcoefi;RW;0x3243;U16;60
pv2crrclbcoefi;RW;0x3244;U16;60
invcrrclbcoefi;RW;0x3245;U16;60
pvinpmdi;RW;0x3246;U16;60
invappmdi;RW;0x3247;U16;60
vbctmi;RW;0x3252;U16;60
autobwufi;RW;0x3255;U16;60
bvltclbcfi;RW;0x3256;U16;60
bvltclbcoffsi;RW;0x3257;I16;60
b1vltclbcfctri;RW;0x3258;U16;60
b1vltclbcoffsti;RW;0x3259;I16;60
b2vltclbcfctri;RW;0x325A;U16;60
b2vltclbcoffsti;RW;0x325B;I16;60
slvbusvltclbci;RW;0x325C;U16;60
slvbusvltclboffsti;RW;0x325D;I16;60
gfciclbfctri;RW;0x325E;U16;60
gfciclboffsti;RW;0x325F;I16;60
l1cdccomclbci;RW;0x3260;U16;60
l1cdccomclbofi;RW;0x3261;I16;60
outrphvltclbci;RW;0x3262;U16;60
outrphvltclboffi;RW;0x3263;I16;60
outrphcrrclbc;RW;0x3264;U16;60i
outrphcrrclboffi;RW;0x3265;U16;60
outrphvltdcclbci;RW;0x3266;U16;60
outrphvltdcclboffi;RW;0x3267;I16;60
pv1vltcoffi;RW;0x3268;I16;60
pv2vltcoffi;RW;0x3269;I16;60
invvltcoffi;RW;0x326A;I16;60
busvltcoffi;RW;0x326B;I16;60
pv1crrcoffi;RW;0x326C;I16;60
pv2crrcoffi;RW;0x326D;I16;60
invcrrcoffi;RW;0x326E;I16;60
l1vltcoffi;RW;0x326F;I16;60
l2vltcoffi;RW;0x3270;I16;60
bcpi;RW;0x3275;U16;60
agmodseti;RW;0x3278;U16;60
socri;RW;0x327A;U16;60
tmgrcheni;RW;0x3600;U16;60
tmgrconbtdeni;RW;0x3601;U16;60
lodcutlodi;RW;0x3602;U16;60
surplelselli;RW;0x3603;U16;60
chgtmsetenbi;RW;0x3604;U16;60
dchtmsetenbi;RW;0x3605;U16;60
fstchstrtmi;RW;0x3606;H64;60
fstchendtmi;RW;0x3607;H64;60
fstchenddtpwi;RW;0x3608;H64;60
scdchstrtmi;RW;0x3609;H64;60
scdchendtmi;RW;0x360A;H64;60
art2chdtpwi;RW;0x360B;H64;60
art3chstrtmi;RW;0x360C;H64;60
art3chendtmi;RW;0x360D;H64;60
art3chdtpwi;RW;0x360E;H64;60
art4chstrtmi;RW;0x360F;H64;60
art4chendtmi;RW;0x3610;H64;60
art4chdtpwi;RW;0x3611;H64;60
art5chstrtmi;RW;0x3612;H64;60
art5chendtmi;RW;0x3613;H64;60
art5chdtpwi;RW;0x3614;H64;60
art6chstrtmi;RW;0x3615;H64;60
art6chendtmi;RW;0x3616;H64;60
art6chdtpwi;RW;0x3617;H64;60
art7chstrtmi;RW;0x3618;H64;60
art7chendtmi;RW;0x3619;H64;60
art7chdtpwi;RW;0x361A;H64;60
thfrdchstrtmi;RW;0x361B;H64;60
thfrdchendtmi;RW;0x361C;H64;60
thfrdchstrdtp;RW;0x361D;H64;60wi
thscdchstrtmi;RW;0x361E;H64;60
thscdchendtmi;RW;0x361F;H64;60
art2dchdtpwi;RW;0x3620;H64;60
thdchstrtmi;RW;0x3621;H64;60
art3dchendtmi;RW;0x3622;H64;60
art3dchdtpwi;RW;0x3623;H64;60
art4dchstrtmi;RW;0x3624;H64;60
art4dchendtmi;RW;0x3625;H64;60
art4dchdtpwi;RW;0x3626;H64;60
art5dchstrtmi;RW;0x3627;H64;60
art5dchendtmi;RW;0x3628;H64;60
art5dchdtpwi;RW;0x3629;H64;60
art6dchstrtmi;RW;0x362A;H64;60
art6dchendtmi;RW;0x362B;H64;60
art6dchdtpwi;RW;0x362C;H64;60
art7dchstrtmi;RW;0x362D;H64;60
art7dchendtmi;RW;0x362E;H64;60
art7dchdtpwi;RW;0x362F;H64;60
invmeteni;RW;0x3630;U16;60
corraddmeti;RW;0x3631;U16;60
invbuzeni;RW;0x3632;U16;60
rscommaddi;RW;0x3633;U16;60
rscommbndi;RW;0x3634;U16;60
passbtchpwi;RW;0x3639;U16;60
passbtdchpwi;RW;0x363A;U16;60
invbtprtli;RW;0x363B;U16;60
